.y.,group1,group2,n1,n2,statistic,df,p,p.adj,p.adj.signif
GPA,CTR 0,MS436 10,3,3,-1.496586056,2.07699985,0.269,1,ns
GPA,CTR 0,MS436 20,3,3,-2.398619156,2.722830252,0.105,1,ns
GPA,CTR 0,MS436 5,3,3,-0.39403459,2.640270193,0.723,1,ns
GPA,CTR 0,"plate2,D6,T2110,(+)-JQ-1 100",3,3,-2.547470045,2.071104929,0.121,1,ns
GPA,CTR 0,"plate2,D6,T2110,(+)-JQ-1 200",3,3,-3.324695703,2.276359784,0.067,1,ns
GPA,CTR 0,"plate2,D6,T2110,(+)-JQ-1 500",3,3,0.622532842,3.75002355,0.569,1,ns
GPA,CTR 0,"plate5,A11,T5434,ARV-825,BRD4 100",3,3,-5.642422286,2.353387047,0.02,1,ns
GPA,CTR 0,"plate5,A11,T5434,ARV-825,BRD4 200",3,3,-4.179947507,2.495375947,0.035,1,ns
GPA,CTR 0,"plate5,A11,T5434,ARV-825,BRD4 500",3,3,-4.216944895,2.85026706,0.027,1,ns
GPA,CTR 0,"plate5,B2,T5442,A1874,BRD4 100",3,3,-2.222926378,2.444460059,0.133,1,ns
GPA,CTR 0,"plate5,B2,T5442,A1874,BRD4 200",3,3,-2.195858079,2.229086516,0.146,1,ns
GPA,CTR 0,"plate5,B2,T5442,A1874,BRD4 500",3,3,-2.477597778,2.364359653,0.112,1,ns
GPA,CTR 0,"plate5,D9,T5440,Dbet57,BRD4 100",3,3,-1.825062096,3.124558377,0.162,1,ns
GPA,CTR 0,"plate5,D9,T5440,Dbet57,BRD4 200",3,3,-1.776799388,3.842962863,0.153,1,ns
GPA,CTR 0,"plate5,D9,T5440,Dbet57,BRD4 500",3,3,-4.579102982,3.999955447,0.01,1,ns
GPA,MS436 10,MS436 20,3,3,-2.42716925,2.407533029,0.115,1,ns
GPA,MS436 10,MS436 5,3,3,2.533542727,2.4622189,0.103,1,ns
GPA,MS436 10,"plate2,D6,T2110,(+)-JQ-1 100",3,3,-5.503062674,3.993664452,0.005,0.587,ns
GPA,MS436 10,"plate2,D6,T2110,(+)-JQ-1 200",3,3,-6.471757712,3.030278812,0.007,0.762,ns
GPA,MS436 10,"plate2,D6,T2110,(+)-JQ-1 500",3,3,2.942264997,2.130508137,0.092,1,ns
GPA,MS436 10,"plate5,A11,T5434,ARV-825,BRD4 100",3,3,-13.30114923,2.826380548,0.001,0.146,ns
GPA,MS436 10,"plate5,A11,T5434,ARV-825,BRD4 200",3,3,-7.677603757,2.598270738,0.007,0.777,ns
GPA,MS436 10,"plate5,A11,T5434,ARV-825,BRD4 500",3,3,-6.40367685,2.342632143,0.016,1,ns
GPA,MS436 10,"plate5,B2,T5442,A1874,BRD4 100",3,3,-2.296689783,2.665084102,0.116,1,ns
GPA,MS436 10,"plate5,B2,T5442,A1874,BRD4 200",3,3,-2.697443539,3.205179735,0.069,1,ns
GPA,MS436 10,"plate5,B2,T5442,A1874,BRD4 500",3,3,-3.233829328,2.803253065,0.053,1,ns
GPA,MS436 10,"plate5,D9,T5440,Dbet57,BRD4 100",3,3,-1.007537189,2.249303293,0.41,1,ns
GPA,MS436 10,"plate5,D9,T5440,Dbet57,BRD4 200",3,3,-1.054164105,2.051114597,0.4,1,ns
GPA,MS436 10,"plate5,D9,T5440,Dbet57,BRD4 500",3,3,-4.912395163,2.076487977,0.036,1,ns
GPA,MS436 20,MS436 5,3,3,3.691114791,3.983473731,0.021,1,ns
GPA,MS436 20,"plate2,D6,T2110,(+)-JQ-1 100",3,3,0.095669592,2.376895309,0.931,1,ns
GPA,MS436 20,"plate2,D6,T2110,(+)-JQ-1 200",3,3,-1.628814238,3.30495654,0.193,1,ns
GPA,MS436 20,"plate2,D6,T2110,(+)-JQ-1 500",3,3,3.856069078,3.152862799,0.028,1,ns
GPA,MS436 20,"plate5,A11,T5434,ARV-825,BRD4 100",3,3,-6.232943065,3.552526716,0.005,0.551,ns
GPA,MS436 20,"plate5,A11,T5434,ARV-825,BRD4 200",3,3,-3.257151517,3.852441479,0.033,1,ns
GPA,MS436 20,"plate5,A11,T5434,ARV-825,BRD4 500",3,3,-3.201583235,3.969215794,0.033,1,ns
GPA,MS436 20,"plate5,B2,T5442,A1874,BRD4 100",3,3,0.490869182,3.766953824,0.651,1,ns
GPA,MS436 20,"plate5,B2,T5442,A1874,BRD4 200",3,3,0.718464665,3.122925169,0.522,1,ns
GPA,MS436 20,"plate5,B2,T5442,A1874,BRD4 500",3,3,0.046248094,3.582780649,0.966,1,ns
GPA,MS436 20,"plate5,D9,T5440,Dbet57,BRD4 100",3,3,0.74808273,3.775201323,0.498,1,ns
GPA,MS436 20,"plate5,D9,T5440,Dbet57,BRD4 200",3,3,-0.153543828,2.48898164,0.89,1,ns
GPA,MS436 20,"plate5,D9,T5440,Dbet57,BRD4 500",3,3,-3.545145936,2.718343501,0.045,1,ns
GPA,MS436 5,"plate2,D6,T2110,(+)-JQ-1 100",3,3,-5.025136558,2.427662211,0.025,1,ns
GPA,MS436 5,"plate2,D6,T2110,(+)-JQ-1 200",3,3,-6.231001613,3.433539541,0.006,0.602,ns
GPA,MS436 5,"plate2,D6,T2110,(+)-JQ-1 500",3,3,1.393577064,3.034852404,0.257,1,ns
GPA,MS436 5,"plate5,A11,T5434,ARV-825,BRD4 100",3,3,-10.85177107,3.675176757,0.000635,0.076,ns
GPA,MS436 5,"plate5,A11,T5434,ARV-825,BRD4 200",3,3,-7.443657896,3.930498187,0.002,0.214,ns
GPA,MS436 5,"plate5,A11,T5434,ARV-825,BRD4 500",3,3,-6.808636122,3.910115257,0.003,0.301,ns
GPA,MS436 5,"plate5,B2,T5442,A1874,BRD4 100",3,3,-3.647598151,3.864403941,0.023,1,ns
GPA,MS436 5,"plate5,B2,T5442,A1874,BRD4 200",3,3,-3.891336228,3.245911184,0.026,1,ns
GPA,MS436 5,"plate5,B2,T5442,A1874,BRD4 500",3,3,-4.274287256,3.703280527,0.015,1,ns
GPA,MS436 5,"plate5,D9,T5440,Dbet57,BRD4 100",3,3,-2.41858408,3.662304459,0.079,1,ns
GPA,MS436 5,"plate5,D9,T5440,Dbet57,BRD4 200",3,3,-1.847233413,2.431290579,0.183,1,ns
GPA,MS436 5,"plate5,D9,T5440,Dbet57,BRD4 500",3,3,-5.601222754,2.636232742,0.016,1,ns
GPA,"plate2,D6,T2110,(+)-JQ-1 100","plate2,D6,T2110,(+)-JQ-1 200",3,3,-2.93982885,2.961473108,0.062,1,ns
GPA,"plate2,D6,T2110,(+)-JQ-1 100","plate2,D6,T2110,(+)-JQ-1 500",3,3,4.304795261,2.120529096,0.045,1,ns
GPA,"plate2,D6,T2110,(+)-JQ-1 100","plate5,A11,T5434,ARV-825,BRD4 100",3,3,-10.15234725,2.768129883,0.003,0.322,ns
GPA,"plate2,D6,T2110,(+)-JQ-1 100","plate5,A11,T5434,ARV-825,BRD4 200",3,3,-4.92196888,2.554308353,0.023,1,ns
GPA,"plate2,D6,T2110,(+)-JQ-1 100","plate5,A11,T5434,ARV-825,BRD4 500",3,3,-4.265582091,2.316728755,0.039,1,ns
GPA,"plate2,D6,T2110,(+)-JQ-1 100","plate5,B2,T5442,A1874,BRD4 100",3,3,0.624314013,2.616719169,0.583,1,ns
GPA,"plate2,D6,T2110,(+)-JQ-1 100","plate5,B2,T5442,A1874,BRD4 200",3,3,1.137260431,3.129660768,0.335,1,ns
GPA,"plate2,D6,T2110,(+)-JQ-1 100","plate5,B2,T5442,A1874,BRD4 500",3,3,-0.056996619,2.746347088,0.958,1,ns
GPA,"plate2,D6,T2110,(+)-JQ-1 100","plate5,D9,T5440,Dbet57,BRD4 100",3,3,0.84637879,2.230337021,0.478,1,ns
GPA,"plate2,D6,T2110,(+)-JQ-1 100","plate5,D9,T5440,Dbet57,BRD4 200",3,3,-0.196908451,2.047199946,0.862,1,ns
GPA,"plate2,D6,T2110,(+)-JQ-1 100","plate5,D9,T5440,Dbet57,BRD4 500",3,3,-3.869568028,2.070632193,0.058,1,ns
GPA,"plate2,D6,T2110,(+)-JQ-1 200","plate2,D6,T2110,(+)-JQ-1 500",3,3,5.202102661,2.464550285,0.022,1,ns
GPA,"plate2,D6,T2110,(+)-JQ-1 200","plate5,A11,T5434,ARV-825,BRD4 100",3,3,-6.154799837,3.939584741,0.004,0.417,ns
GPA,"plate2,D6,T2110,(+)-JQ-1 200","plate5,A11,T5434,ARV-825,BRD4 200",3,3,-2.256274285,3.692066472,0.093,1,ns
GPA,"plate2,D6,T2110,(+)-JQ-1 200","plate5,A11,T5434,ARV-825,BRD4 500",3,3,-2.265875449,3.134595661,0.105,1,ns
GPA,"plate2,D6,T2110,(+)-JQ-1 200","plate5,B2,T5442,A1874,BRD4 100",3,3,2.563609442,3.787477992,0.066,1,ns
GPA,"plate2,D6,T2110,(+)-JQ-1 200","plate5,B2,T5442,A1874,BRD4 200",3,3,3.312957546,3.964760643,0.03,1,ns
GPA,"plate2,D6,T2110,(+)-JQ-1 200","plate5,B2,T5442,A1874,BRD4 500",3,3,2.114728696,3.924064873,0.103,1,ns
GPA,"plate2,D6,T2110,(+)-JQ-1 200","plate5,D9,T5440,Dbet57,BRD4 100",3,3,2.199856674,2.858585419,0.12,1,ns
GPA,"plate2,D6,T2110,(+)-JQ-1 200","plate5,D9,T5440,Dbet57,BRD4 200",3,3,0.497845809,2.183910654,0.664,1,ns
GPA,"plate2,D6,T2110,(+)-JQ-1 200","plate5,D9,T5440,Dbet57,BRD4 500",3,3,-2.938702391,2.274538733,0.085,1,ns
GPA,"plate2,D6,T2110,(+)-JQ-1 500","plate5,A11,T5434,ARV-825,BRD4 100",3,3,-8.100526443,2.59065676,0.007,0.705,ns
GPA,"plate2,D6,T2110,(+)-JQ-1 500","plate5,A11,T5434,ARV-825,BRD4 200",3,3,-6.171565659,2.816334522,0.01,1,ns
GPA,"plate2,D6,T2110,(+)-JQ-1 500","plate5,A11,T5434,ARV-825,BRD4 500",3,3,-6.043849173,3.324245071,0.007,0.712,ns
GPA,"plate2,D6,T2110,(+)-JQ-1 500","plate5,B2,T5442,A1874,BRD4 100",3,3,-3.734885588,2.736562638,0.039,1,ns
GPA,"plate2,D6,T2110,(+)-JQ-1 500","plate5,B2,T5442,A1874,BRD4 200",3,3,-3.782903369,2.386167112,0.048,1,ns
GPA,"plate2,D6,T2110,(+)-JQ-1 500","plate5,B2,T5442,A1874,BRD4 500",3,3,-4.086952125,2.608433536,0.034,1,ns
GPA,"plate2,D6,T2110,(+)-JQ-1 500","plate5,D9,T5440,Dbet57,BRD4 100",3,3,-3.031785889,3.64089629,0.044,1,ns
GPA,"plate2,D6,T2110,(+)-JQ-1 500","plate5,D9,T5440,Dbet57,BRD4 200",3,3,-2.485053886,3.357378318,0.08,1,ns
GPA,"plate2,D6,T2110,(+)-JQ-1 500","plate5,D9,T5440,Dbet57,BRD4 500",3,3,-5.755342924,3.744348143,0.006,0.602,ns
GPA,"plate5,A11,T5434,ARV-825,BRD4 100","plate5,A11,T5434,ARV-825,BRD4 200",3,3,3.135133746,3.8862559,0.036,1,ns
GPA,"plate5,A11,T5434,ARV-825,BRD4 100","plate5,A11,T5434,ARV-825,BRD4 500",3,3,2.191518085,3.376919092,0.106,1,ns
GPA,"plate5,A11,T5434,ARV-825,BRD4 100","plate5,B2,T5442,A1874,BRD4 100",3,3,7.892894189,3.946475069,0.001,0.172,ns
GPA,"plate5,A11,T5434,ARV-825,BRD4 100","plate5,B2,T5442,A1874,BRD4 200",3,3,9.48423896,3.822331431,0.000856,0.102,ns
GPA,"plate5,A11,T5434,ARV-825,BRD4 100","plate5,B2,T5442,A1874,BRD4 500",3,3,7.757253187,3.9990343,0.001,0.173,ns
GPA,"plate5,A11,T5434,ARV-825,BRD4 100","plate5,D9,T5440,Dbet57,BRD4 100",3,3,6.03426014,3.067925041,0.009,0.882,ns
GPA,"plate5,A11,T5434,ARV-825,BRD4 100","plate5,D9,T5440,Dbet57,BRD4 200",3,3,2.434328941,2.235576231,0.122,1,ns
GPA,"plate5,A11,T5434,ARV-825,BRD4 100","plate5,D9,T5440,Dbet57,BRD4 500",3,3,-0.571635993,2.351072728,0.618,1,ns
GPA,"plate5,A11,T5434,ARV-825,BRD4 200","plate5,A11,T5434,ARV-825,BRD4 500",3,3,-0.387139401,3.711182094,0.72,1,ns
GPA,"plate5,A11,T5434,ARV-825,BRD4 200","plate5,B2,T5442,A1874,BRD4 100",3,3,4.282034447,3.98761465,0.013,1,ns
GPA,"plate5,A11,T5434,ARV-825,BRD4 200","plate5,B2,T5442,A1874,BRD4 200",3,3,5.085381862,3.511636151,0.01,1,ns
GPA,"plate5,A11,T5434,ARV-825,BRD4 200","plate5,B2,T5442,A1874,BRD4 500",3,3,3.957180256,3.905022579,0.018,1,ns
GPA,"plate5,A11,T5434,ARV-825,BRD4 200","plate5,D9,T5440,Dbet57,BRD4 100",3,3,3.565860145,3.400961259,0.031,1,ns
GPA,"plate5,A11,T5434,ARV-825,BRD4 200","plate5,D9,T5440,Dbet57,BRD4 200",3,3,1.269418215,2.331667076,0.316,1,ns
GPA,"plate5,A11,T5434,ARV-825,BRD4 200","plate5,D9,T5440,Dbet57,BRD4 500",3,3,-1.927827084,2.492182095,0.168,1,ns
GPA,"plate5,A11,T5434,ARV-825,BRD4 500","plate5,B2,T5442,A1874,BRD4 100",3,3,4.002811904,3.608088061,0.02,1,ns
GPA,"plate5,A11,T5434,ARV-825,BRD4 500","plate5,B2,T5442,A1874,BRD4 200",3,3,4.541410373,2.965938279,0.02,1,ns
GPA,"plate5,A11,T5434,ARV-825,BRD4 500","plate5,B2,T5442,A1874,BRD4 500",3,3,3.696853792,3.407984173,0.028,1,ns
GPA,"plate5,A11,T5434,ARV-825,BRD4 500","plate5,D9,T5440,Dbet57,BRD4 100",3,3,3.536269524,3.900910162,0.025,1,ns
GPA,"plate5,A11,T5434,ARV-825,BRD4 500","plate5,D9,T5440,Dbet57,BRD4 200",3,3,1.407061214,2.579698833,0.268,1,ns
GPA,"plate5,A11,T5434,ARV-825,BRD4 500","plate5,D9,T5440,Dbet57,BRD4 500",3,3,-1.643738351,2.845142189,0.204,1,ns
GPA,"plate5,B2,T5442,A1874,BRD4 100","plate5,B2,T5442,A1874,BRD4 200",3,3,0.210028306,3.62015324,0.845,1,ns
GPA,"plate5,B2,T5442,A1874,BRD4 100","plate5,B2,T5442,A1874,BRD4 500",3,3,-0.540242208,3.959526985,0.618,1,ns
GPA,"plate5,B2,T5442,A1874,BRD4 100","plate5,D9,T5440,Dbet57,BRD4 100",3,3,0.397281242,3.289988123,0.716,1,ns
GPA,"plate5,B2,T5442,A1874,BRD4 100","plate5,D9,T5440,Dbet57,BRD4 200",3,3,-0.368163628,2.297061603,0.744,1,ns
GPA,"plate5,B2,T5442,A1874,BRD4 100","plate5,D9,T5440,Dbet57,BRD4 500",3,3,-3.915192775,2.441576455,0.043,1,ns
GPA,"plate5,B2,T5442,A1874,BRD4 200","plate5,B2,T5442,A1874,BRD4 500",3,3,-0.856138053,3.798426451,0.443,1,ns
GPA,"plate5,B2,T5442,A1874,BRD4 200","plate5,D9,T5440,Dbet57,BRD4 100",3,3,0.282893293,2.721646965,0.797,1,ns
GPA,"plate5,B2,T5442,A1874,BRD4 200","plate5,D9,T5440,Dbet57,BRD4 200",3,3,-0.443824007,2.152322795,0.698,1,ns
GPA,"plate5,B2,T5442,A1874,BRD4 200","plate5,D9,T5440,Dbet57,BRD4 500",3,3,-4.099145951,2.227572425,0.045,1,ns
GPA,"plate5,B2,T5442,A1874,BRD4 500","plate5,D9,T5440,Dbet57,BRD4 100",3,3,0.793771979,3.096208547,0.484,1,ns
GPA,"plate5,B2,T5442,A1874,BRD4 500","plate5,D9,T5440,Dbet57,BRD4 200",3,3,-0.1773653,2.242959149,0.874,1,ns
GPA,"plate5,B2,T5442,A1874,BRD4 500","plate5,D9,T5440,Dbet57,BRD4 500",3,3,-3.718820646,2.361975877,0.05,1,ns
GPA,"plate5,D9,T5440,Dbet57,BRD4 100","plate5,D9,T5440,Dbet57,BRD4 200",3,3,-0.538995205,2.784329243,0.63,1,ns
GPA,"plate5,D9,T5440,Dbet57,BRD4 100","plate5,D9,T5440,Dbet57,BRD4 500",3,3,-3.837378906,3.118360365,0.029,1,ns
GPA,"plate5,D9,T5440,Dbet57,BRD4 200","plate5,D9,T5440,Dbet57,BRD4 500",3,3,-2.31712349,3.847712216,0.084,1,ns
